policynumber,age,numberofclaims,ncdlevel19,ncdlevel20
178,21,0,-2,-1
179,25,1,1,0
180,52,0,-2,-1
181,20,0,1,2
182,22,0,-2,-1
183,52,0,0,1
184,24,0,-1,0
185,54,0,2,2
186,53,0,1,2
187,23,0,0,1
188,54,0,-1,0
189,23,1,1,0
190,25,1,-1,-2
191,50,0,1,2
192,55,0,-1,0
193,21,1,1,0
194,55,0,1,2
195,23,1,1,0
196,54,0,-1,0
197,51,0,0,1
198,52,0,2,2
199,53,0,1,2
200,52,0,-1,0
201,55,0,1,2
202,52,1,-1,-2
203,24,0,0,1
204,53,0,1,2
205,51,0,1,2
206,50,1,-2,-2
207,20,0,1,2
208,23,0,-1,0
209,25,0,0,1
210,25,0,1,2
211,23,0,-1,0
212,23,0,-2,-1
213,51,0,2,2
214,52,0,-2,-1
215,23,0,0,1
216,51,0,2,2
217,54,0,-1,0
218,21,0,0,1
219,22,0,-2,-1
220,22,1,-1,-2
221,21,0,1,2
222,22,1,1,0
223,23,0,1,2
224,53,0,2,2
225,21,0,-2,-1
226,23,0,1,2
227,24,0,-2,-1
228,25,0,1,2
229,50,0,0,1
230,55,1,1,0
231,21,0,-1,0
232,51,0,0,1
233,51,0,2,2
234,52,0,-2,-1
235,54,0,-2,-1
236,52,0,1,2
237,21,0,-2,-1
238,52,0,0,1
239,23,0,0,1
240,51,0,-2,-1
241,55,0,1,2
242,21,0,-1,0
243,51,0,0,1
244,54,0,-1,0
245,24,0,0,1
246,22,0,1,2
247,54,0,1,2
248,20,1,2,1
249,24,1,-1,-2
250,54,0,-2,-1
251,23,0,0,1
252,23,0,1,2
253,51,0,-1,0
254,20,0,0,1
255,53,0,-1,0
256,51,0,-1,0
257,24,0,0,1
258,25,0,-1,0
259,24,0,1,2
260,51,1,-2,-2
261,54,1,-2,-2
262,23,1,2,1
263,21,0,-2,-1
264,54,1,1,0
265,25,0,-2,-1
266,24,0,-2,-1
267,53,0,-2,-1
268,24,0,-1,0
269,53,0,0,1
270,22,0,-2,-1
271,52,1,1,0
272,23,0,0,1
273,23,0,2,2
274,25,0,2,2
275,20,0,-2,-1
276,52,0,0,1
277,24,1,-1,-2
278,54,0,2,2
279,50,0,0,1
280,22,0,2,2
281,51,0,0,1
282,22,0,2,2
283,55,0,-1,0
284,23,0,-2,-1
285,24,0,2,2
286,53,0,-1,0
287,54,0,-1,0
288,52,0,1,2
289,23,0,2,2
290,51,0,1,2
291,20,0,-2,-1
292,50,0,0,1
293,50,0,0,1
294,23,1,2,1
295,51,0,1,2
296,23,0,-1,0
297,23,1,-1,-2
298,51,0,0,1
299,22,0,-1,0
300,53,0,1,2
301,55,0,-1,0
302,54,0,2,2
303,50,0,0,1
304,52,0,2,2
305,52,0,2,2
306,55,0,0,1
307,21,0,-2,-1
308,21,0,-1,0
309,51,0,0,1
310,50,0,0,1
311,51,0,-1,0
312,52,0,-1,0
313,54,0,2,2
314,21,0,2,2
315,23,0,2,2
316,22,0,-2,-1
317,51,0,1,2
318,53,0,2,2
319,51,0,0,1
320,22,0,2,2
321,53,0,2,2
322,51,0,-1,0
323,25,0,-1,0
324,52,0,-2,-1
325,25,0,0,1
326,50,0,2,2
327,21,2,2,0
328,53,0,2,2
329,52,0,0,1
330,51,1,-2,-2
331,24,0,-1,0
332,22,0,2,2
333,22,0,0,1
334,52,0,-1,0
335,22,0,-1,0
336,50,0,-2,-1
337,23,0,2,2
338,51,0,0,1
339,21,0,-1,0
340,54,1,-1,-2
341,21,0,2,2
342,55,0,2,2
343,24,0,0,1
344,25,0,1,2
345,51,0,2,2
346,22,0,-1,0
347,52,1,2,1
348,25,0,1,2
349,54,0,-1,0
350,24,0,-1,0
351,50,0,1,2
352,50,1,0,-1
353,22,0,0,1
354,50,0,0,1
355,50,0,1,2
356,22,1,0,-1
357,24,0,0,1
358,51,0,-2,-1
359,51,0,1,2
360,21,0,2,2
361,21,0,0,1
362,20,0,-1,0
363,25,1,2,1
364,20,0,-2,-1
365,51,0,1,2
366,53,0,-2,-1
367,53,0,-2,-1
368,25,0,1,2
369,53,0,0,1
370,22,0,-2,-1
371,22,0,-1,0
372,51,0,-1,0
373,24,1,2,1
374,53,0,0,1
375,52,0,-2,-1
376,51,1,-1,-2
377,53,0,-2,-1
378,23,0,0,1
379,21,0,1,2
380,52,1,0,-1
381,23,0,2,2
382,23,0,1,2
383,51,0,1,2
384,52,0,2,2
385,22,0,2,2
386,25,1,-2,-2
387,25,0,2,2
388,24,0,2,2
389,51,0,-2,-1
390,51,0,1,2
391,54,1,2,1
392,54,0,-2,-1
393,51,0,-1,0
394,23,0,0,1
395,23,0,2,2
396,21,0,1,2
397,25,0,2,2
398,24,0,2,2
399,53,0,0,1
400,54,2,-2,-2
401,53,1,2,1
402,24,0,0,1
403,53,1,-1,-2
404,24,0,-2,-1
405,52,0,2,2
406,53,0,1,2
407,55,0,-2,-1
408,51,0,2,2
409,54,0,-2,-1
410,22,0,0,1
411,51,0,0,1
412,53,0,1,2
413,51,0,-1,0
414,55,0,-2,-1
415,22,0,-2,-1
416,55,0,2,2
417,21,1,-1,-2
418,25,0,0,1
419,53,0,2,2
420,51,0,0,1
421,54,0,-2,-1
422,24,0,0,1
423,54,0,0,1
424,23,0,1,2
425,51,1,-1,-2
426,54,0,1,2
427,21,0,0,1
428,23,0,1,2
429,53,0,0,1
430,23,1,1,0
431,20,1,0,-1
432,55,0,2,2
433,21,0,0,1
434,23,2,1,-1
435,25,0,-2,-1
436,24,0,0,1
437,54,0,0,1
438,24,0,-2,-1
439,53,0,0,1
440,24,0,0,1
441,50,0,1,2
442,20,0,-2,-1
443,23,0,2,2
444,51,0,2,2
445,24,1,0,-1
446,20,0,-2,-1
447,52,0,1,2
448,50,0,-1,0
449,53,0,-2,-1
450,54,0,2,2
451,52,0,0,1
452,51,0,-2,-1
453,21,0,-2,-1
454,24,0,1,2
455,24,0,2,2
456,53,1,-2,-2
457,53,0,-1,0
458,21,0,-2,-1
459,52,0,1,2
460,51,0,1,2
461,55,1,1,0
462,52,0,1,2
463,22,0,-2,-1
464,21,0,0,1
465,53,0,1,2
466,22,0,-2,-1
467,55,0,-2,-1
468,53,0,1,2
469,22,0,1,2
470,51,0,2,2
471,50,0,-1,0
472,54,0,0,1
473,55,0,-1,0
474,55,0,1,2
475,23,0,1,2
476,53,0,2,2
477,24,0,1,2
478,20,0,0,1
479,23,0,0,1
480,22,0,0,1
481,50,0,-1,0
482,53,0,-1,0
483,24,0,0,1
484,51,0,-1,0
485,53,1,0,-1
486,20,0,-1,0
487,55,0,2,2
488,20,0,-2,-1
489,21,0,-1,0
490,23,0,0,1
491,51,1,0,-1
492,55,0,2,2
493,20,0,2,2
494,52,0,1,2
495,55,0,-2,-1
496,52,2,2,0
497,54,0,1,2
498,52,0,0,1
499,23,0,1,2
500,55,0,-2,-1
501,50,0,-1,0
502,21,0,-1,0
503,23,0,-1,0
504,51,0,-1,0
505,50,0,-2,-1
506,20,0,2,2
507,50,0,-2,-1
508,21,0,1,2
509,21,1,-1,-2
510,22,0,2,2
511,55,0,2,2
512,22,0,-1,0
513,53,0,0,1
514,20,0,1,2
515,54,0,2,2
516,53,0,-1,0
517,55,0,-1,0
518,53,0,-1,0
519,23,0,1,2
520,23,0,1,2
521,53,0,0,1
522,50,0,-1,0
523,22,0,1,2
524,20,0,2,2
525,21,0,0,1
526,21,0,1,2
527,54,1,1,0
528,24,0,0,1
529,23,1,0,-1
530,24,0,-1,0
531,52,1,2,1
532,50,0,-2,-1
533,54,0,1,2
534,23,0,-2,-1
535,52,0,0,1
536,54,0,1,2
537,51,0,0,1
538,21,0,-1,0
539,21,0,-2,-1
540,55,0,-1,0
541,54,0,-1,0
542,54,0,2,2
543,23,0,-1,0
544,53,0,2,2
545,20,0,2,2
546,54,1,0,-1
547,23,0,1,2
548,51,0,0,1
549,25,0,-1,0
550,52,0,2,2
551,52,0,-1,0
552,51,0,2,2
553,20,0,2,2
554,52,1,0,-1
555,54,0,-2,-1
556,22,0,0,1
557,25,0,0,1
558,22,0,0,1
559,23,0,1,2
560,54,0,0,1
561,52,0,-1,0
562,23,1,1,0
563,22,0,-2,-1
564,52,0,-1,0
565,21,0,-1,0
566,51,0,-1,0
567,52,0,2,2
568,22,0,-2,-1
569,24,0,0,1
570,52,1,0,-1
571,21,0,0,1
572,25,1,-1,-2
573,55,0,0,1
574,21,0,1,2
575,54,1,-2,-2
576,21,0,0,1
577,22,0,1,2
578,50,0,-2,-1
579,24,0,1,2
580,52,0,-1,0
581,22,1,-1,-2
582,24,0,-1,0
583,24,0,0,1
584,20,0,-2,-1
585,51,1,-1,-2
586,53,0,2,2
587,22,0,1,2
588,52,0,0,1
589,53,1,-2,-2
590,50,0,1,2
591,24,0,0,1
592,20,0,-2,-1
593,22,1,1,0
594,22,0,-2,-1
595,23,0,2,2
596,54,1,-1,-2
597,53,0,-2,-1
598,22,0,2,2
599,53,1,-2,-2
600,51,0,-1,0
601,50,0,0,1
602,51,0,2,2
603,55,0,0,1
604,25,0,1,2
605,53,0,1,2
606,52,0,0,1
607,54,0,0,1
608,53,0,-1,0
609,52,0,-1,0
610,53,0,2,2
611,51,0,2,2
612,21,0,1,2
613,52,0,-1,0
614,54,2,0,-2
615,50,0,2,2
616,52,0,0,1
617,24,1,1,0
618,55,0,-1,0
619,51,1,-1,-2
620,52,0,2,2
621,50,1,2,1
622,51,1,1,0
623,22,0,-2,-1
624,23,0,2,2
625,54,0,-2,-1
626,23,0,-2,-1
627,20,0,2,2
628,20,0,-2,-1
629,24,0,-2,-1
630,52,0,2,2
631,51,0,1,2
632,53,0,0,1
633,54,0,0,1
634,21,0,-1,0
635,21,0,1,2
636,20,0,0,1
637,24,1,1,0
638,55,0,-1,0
639,50,0,-1,0
640,22,0,2,2
641,25,0,-1,0
642,23,0,1,2
643,50,1,1,0
644,21,0,2,2
645,23,0,2,2
646,54,0,-2,-1
647,53,0,-2,-1
648,54,0,-1,0
649,51,0,-2,-1
650,55,0,1,2
651,53,0,-2,-1
652,54,1,2,1
653,24,0,0,1
654,24,0,-2,-1
655,20,0,0,1
656,50,0,0,1
657,21,1,2,1
658,20,0,-1,0
659,24,0,1,2
660,50,0,-2,-1
661,21,0,0,1
662,53,0,-2,-1
663,55,0,-1,0
664,52,0,-2,-1
665,21,0,-1,0
666,24,0,-2,-1
667,54,1,-1,-2
668,23,0,0,1
669,53,0,-2,-1
670,54,0,0,1
671,22,0,0,1
672,23,0,1,2
673,24,0,-2,-1
674,25,0,2,2
675,22,0,-2,-1
676,51,0,-2,-1
677,22,0,2,2
678,54,0,-1,0
679,54,0,0,1
680,53,0,-2,-1
681,23,0,1,2
682,53,0,0,1
683,51,0,-1,0
684,54,1,2,1
685,52,1,2,1
686,24,0,1,2
687,24,0,-1,0
688,52,0,0,1
689,50,0,1,2
690,51,0,-1,0
691,21,0,0,1
692,25,0,0,1
693,22,0,1,2
694,51,0,2,2
695,23,0,-1,0
696,25,0,2,2
697,24,0,2,2
698,53,0,1,2
699,52,0,-1,0
700,22,0,2,2
701,22,0,2,2
702,21,0,0,1
703,24,0,0,1
704,54,1,2,1
705,21,0,0,1
706,54,0,-2,-1
707,54,0,-1,0
708,23,0,1,2
709,51,0,1,2
710,21,0,-2,-1
711,20,0,0,1
712,52,0,1,2
713,24,0,1,2
714,21,0,-2,-1
715,50,0,1,2
716,50,0,-1,0
717,55,0,-1,0
718,50,0,0,1
719,50,2,1,-1
720,50,0,1,2
721,22,0,-2,-1
722,25,0,-1,0
723,24,0,0,1
724,24,1,-1,-2
725,51,0,2,2
726,23,0,0,1
727,54,0,-2,-1
728,22,0,-1,0
729,54,0,-1,0
730,52,0,1,2
731,25,0,-1,0
732,52,1,1,0
733,55,0,-2,-1
734,54,1,-2,-2
735,51,0,0,1
736,21,0,-1,0
737,22,0,2,2
738,51,1,2,1
739,22,0,-2,-1
740,23,0,-1,0
741,21,2,-2,-2
742,54,0,-1,0
743,50,0,-1,0
744,23,0,2,2
745,52,0,0,1
746,53,0,-2,-1
747,24,0,0,1
748,54,0,-1,0
749,20,0,0,1
750,52,1,-1,-2
751,24,0,-1,0
752,25,0,-2,-1
753,22,0,2,2
754,22,0,-1,0
755,54,0,-1,0
756,55,0,0,1
757,54,0,-2,-1
758,24,1,-1,-2
759,55,0,-2,-1
760,50,0,0,1
761,51,0,0,1
762,24,0,1,2
763,24,0,-1,0
764,21,0,0,1
765,53,0,2,2
766,21,0,-1,0
767,55,0,0,1
768,51,0,-1,0
769,24,0,0,1
770,23,0,1,2
771,22,1,-2,-2
772,50,0,2,2
773,52,0,0,1
774,52,0,0,1
775,22,0,-1,0
776,55,0,-2,-1
777,51,0,-2,-1
778,20,0,-2,-1
779,23,0,-2,-1
780,24,0,-2,-1
781,52,0,-2,-1
782,50,0,-1,0
783,53,0,1,2
784,24,0,2,2
785,20,0,1,2
786,21,0,0,1
787,21,0,1,2
788,50,0,1,2
789,23,0,2,2
790,21,1,0,-1
791,51,1,-1,-2
792,25,0,-1,0
793,54,0,2,2
794,22,0,1,2
795,50,0,-1,0
796,51,0,-2,-1
797,52,0,2,2
798,55,0,1,2
799,50,0,-2,-1
800,22,0,-2,-1
801,53,0,-1,0
802,22,0,1,2
803,23,0,2,2
804,24,0,2,2
805,51,0,2,2
806,22,1,-2,-2
807,52,0,0,1
808,24,0,-2,-1
809,50,0,-1,0
810,24,0,2,2
811,21,0,1,2
812,54,0,2,2
813,54,0,0,1
814,23,1,-1,-2
815,53,0,0,1
816,52,0,-2,-1
817,23,0,0,1
818,25,0,1,2
819,53,0,2,2
820,24,0,2,2
821,53,0,-2,-1
822,22,0,-1,0
823,54,0,-1,0
824,20,2,0,-2
825,52,0,1,2
826,20,0,-1,0
827,51,0,-2,-1
828,21,0,1,2
829,53,0,2,2
830,23,0,0,1
831,52,0,-1,0
832,22,0,2,2
833,25,0,-2,-1
834,24,0,0,1
835,24,0,0,1
836,52,0,0,1
837,52,0,2,2
838,20,0,2,2
839,20,0,-1,0
840,51,0,-1,0
841,54,1,-2,-2
842,51,0,1,2
843,54,0,0,1
844,23,0,-2,-1
845,22,0,2,2
846,23,0,1,2
847,54,1,-1,-2
848,52,0,1,2
849,52,0,1,2
850,25,0,0,1
851,22,0,2,2
852,24,0,1,2
853,52,2,-2,-2
854,22,0,1,2
855,55,0,1,2
856,53,0,-2,-1
857,54,1,-1,-2
858,23,0,0,1
859,22,0,0,1
860,53,1,1,0
861,21,0,2,2
862,23,0,1,2
863,53,0,0,1
864,54,0,-1,0
865,51,0,1,2
866,22,0,-1,0
867,52,0,-2,-1
868,55,0,-1,0
869,52,0,1,2
870,23,0,-2,-1
871,20,0,0,1
872,20,0,0,1
873,51,0,0,1
874,23,0,1,2
875,24,1,1,0
876,25,0,2,2
877,20,0,-2,-1
878,22,0,-1,0
879,53,1,2,1
880,53,0,-2,-1
881,50,0,2,2
882,23,1,2,1
883,52,0,-1,0
884,51,0,2,2
885,22,0,1,2
886,53,1,0,-1
887,21,0,2,2
888,20,0,1,2
889,53,0,-2,-1
890,54,0,1,2
891,50,0,0,1
892,52,0,0,1
893,52,0,2,2
894,55,0,2,2
895,54,0,-2,-1
896,53,0,0,1
897,23,0,2,2
898,20,0,1,2
899,24,0,1,2
900,25,0,2,2
901,22,1,-1,-2
902,52,0,-2,-1
903,25,0,1,2
904,52,0,-2,-1
905,54,0,-1,0
906,53,0,2,2
907,20,0,1,2
908,55,1,2,1
909,22,0,-1,0
910,52,0,1,2
911,21,0,-2,-1
912,24,0,0,1
913,23,1,1,0
914,23,0,1,2
915,23,0,2,2
916,53,1,-2,-2
917,52,0,0,1
918,22,0,-1,0
919,53,0,-1,0
920,23,0,-2,-1
921,23,0,-1,0
922,24,0,2,2
923,23,0,-2,-1
924,22,0,-2,-1
925,54,0,-2,-1
926,54,0,-1,0
927,54,0,2,2
928,25,0,-2,-1
929,20,0,-2,-1
930,22,0,-2,-1
931,51,1,1,0
932,52,0,0,1
933,20,0,-1,0
934,23,0,2,2
935,54,1,-2,-2
936,53,0,0,1
937,52,0,0,1
938,50,1,2,1
939,53,1,0,-1
940,51,0,-2,-1
941,24,1,2,1
942,53,0,0,1
943,24,0,2,2
944,55,0,0,1
945,24,0,2,2
946,54,0,2,2
947,52,0,2,2
948,53,0,0,1
949,54,0,2,2
950,51,0,-2,-1
951,55,0,2,2
952,21,0,1,2
953,54,1,-1,-2
954,52,0,0,1
955,51,0,0,1
956,54,1,0,-1
957,53,0,-2,-1
958,54,0,-2,-1
959,23,0,-1,0
960,24,0,1,2
961,54,0,-2,-1
962,52,0,2,2
963,52,0,-2,-1
964,53,0,-1,0
965,52,1,2,1
966,23,0,2,2
967,50,0,1,2
968,52,0,2,2
969,23,0,1,2
970,54,0,2,2
971,54,0,0,1
972,50,0,-1,0
973,22,0,2,2
974,53,0,-2,-1
975,52,0,2,2
976,52,0,2,2
977,23,1,-2,-2
978,23,0,-1,0
979,53,0,-2,-1
980,24,0,0,1
981,25,0,-2,-1
982,52,0,0,1
983,51,1,-1,-2
984,55,0,0,1
985,52,1,0,-1
986,24,0,-2,-1
987,25,0,2,2
988,24,0,0,1
989,22,0,1,2
990,53,0,-1,0
991,54,0,1,2
992,25,0,1,2
993,24,0,1,2
994,50,0,-2,-1
995,52,0,0,1
996,55,0,-2,-1
997,22,0,-2,-1
998,20,0,0,1
999,52,0,-2,-1
1000,51,0,0,1
1001,21,0,-2,-1
1002,52,0,0,1
1003,50,0,-2,-1
1004,55,0,2,2
1005,50,0,-2,-1
1006,52,0,-1,0
1007,54,0,2,2
1008,55,0,-1,0
1009,23,0,-2,-1
1010,50,0,-2,-1
1011,23,0,1,2
1012,21,0,-1,0
1013,53,0,2,2
1014,21,0,2,2
1015,52,0,0,1
1016,22,0,2,2
1017,24,0,0,1
1018,51,0,2,2
1019,25,0,1,2
1020,50,0,-1,0
1021,23,0,0,1
1022,54,0,2,2
1023,21,0,-1,0
1024,53,0,-2,-1
1025,50,0,-2,-1
1026,23,0,-2,-1
1027,20,0,0,1
1028,23,0,1,2
1029,20,0,-1,0
1030,53,0,2,2
1031,51,0,1,2
1032,24,0,0,1
1033,53,0,1,2
1034,23,0,2,2
1035,55,0,2,2
1036,55,0,0,1
1037,21,0,1,2
1038,24,0,0,1
1039,23,0,2,2
1040,24,0,1,2
1041,20,0,0,1
1042,22,0,2,2
1043,53,0,1,2
1044,21,0,-1,0
1045,53,0,0,1
1046,21,0,0,1
1047,52,0,0,1
1048,21,0,1,2
1049,53,1,0,-1
1050,22,2,0,-2
1051,50,0,-2,-1
1052,53,0,-2,-1
1053,54,1,-2,-2
1054,52,0,0,1
1055,21,0,-1,0
1056,20,0,1,2
1057,50,0,-2,-1
1058,51,0,0,1
1059,24,0,0,1
1060,23,0,0,1
1061,53,0,1,2
1062,51,0,-2,-1
1063,54,0,-2,-1
1064,51,0,-1,0
1065,55,0,0,1
1066,54,0,-1,0
1067,25,0,-2,-1
1068,52,0,1,2
1069,51,1,2,1
1070,52,0,-1,0
1071,23,0,-1,0
1072,25,0,-1,0
1073,21,1,2,1
1074,22,0,2,2
1075,54,0,0,1
1076,51,0,0,1
1077,51,0,2,2
1078,53,0,2,2
1079,20,0,1,2
1080,52,0,-2,-1
1081,24,0,0,1
1082,50,0,2,2
1083,51,0,2,2
1084,20,0,0,1
1085,53,0,1,2
1086,25,0,-2,-1
1087,21,0,-1,0
1088,20,0,0,1
1089,54,0,1,2
1090,55,0,0,1
1091,55,0,1,2
1092,53,0,0,1
1093,24,0,1,2
1094,23,0,0,1
1095,24,0,-1,0
1096,52,0,2,2
1097,55,2,0,-2
1098,52,0,1,2
1099,22,0,2,2
1100,21,0,-2,-1
1101,51,0,2,2
1102,55,0,-1,0
1103,25,0,1,2
1104,53,0,-2,-1
1105,24,1,-1,-2
1106,52,0,1,2
1107,52,0,1,2
1108,24,1,-1,-2
1109,52,1,0,-1
1110,51,0,1,2
1111,24,0,2,2
1112,54,0,0,1
1113,22,0,-2,-1
1114,20,0,-1,0
1115,24,0,-1,0
1116,53,0,0,1
1117,54,0,1,2
1118,52,1,2,1
1119,54,0,-2,-1
1120,53,0,-1,0
1121,23,0,2,2
1122,23,0,1,2
1123,24,0,-2,-1
1124,24,0,0,1
1125,24,0,1,2
1126,53,0,-2,-1
1127,24,1,-2,-2
1128,21,0,-2,-1
1129,24,0,2,2
1130,25,0,-2,-1
1131,51,0,1,2
1132,51,0,2,2
1133,24,0,-1,0
1134,53,0,-1,0
1135,55,0,1,2
1136,24,0,-1,0
1137,54,0,-1,0
1138,22,0,1,2
1139,54,0,-2,-1
1140,24,0,1,2
1141,53,0,-2,-1
1142,54,0,-1,0
1143,54,0,-2,-1
1144,55,1,-2,-2
1145,24,0,2,2
1146,24,0,1,2
1147,20,0,1,2
1148,24,0,-2,-1
1149,21,0,-1,0
1150,23,0,1,2
1151,52,1,-1,-2
1152,24,0,0,1
1153,20,0,2,2
1154,53,1,0,-1
1155,50,0,-2,-1
1156,54,0,0,1
1157,54,0,1,2
1158,21,0,1,2
1159,50,0,-2,-1
1160,54,0,2,2
1161,23,0,1,2
1162,52,0,1,2
1163,54,0,2,2
1164,24,0,2,2
1165,53,0,-1,0
1166,22,0,2,2
1167,54,0,1,2
1168,54,0,0,1
1169,51,0,-2,-1
1170,21,1,-1,-2
1171,25,0,1,2
1172,21,0,0,1
1173,55,0,1,2
1174,22,1,2,1
1175,24,0,1,2
1176,21,0,-1,0
1177,53,0,2,2
1178,21,0,0,1
1179,53,0,-2,-1
1180,52,0,-1,0
1181,52,0,2,2
1182,25,0,-1,0
1183,55,0,-2,-1
1184,53,1,-1,-2
1185,22,0,-2,-1
1186,50,0,-1,0
1187,20,0,2,2
1188,55,0,1,2
1189,51,0,1,2
1190,51,0,-2,-1
1191,22,0,1,2
1192,53,0,2,2
1193,25,0,1,2
1194,52,0,0,1
1195,52,0,0,1
1196,52,0,1,2
1197,22,1,2,1
1198,22,0,1,2
1199,52,1,2,1
1200,24,0,1,2
1201,52,0,-2,-1
1202,54,1,1,0
1203,51,0,-2,-1
1204,52,0,2,2
1205,51,0,-1,0
1206,54,1,-1,-2
1207,20,0,1,2
1208,25,0,2,2
1209,50,0,-2,-1
1210,22,0,0,1
1211,24,0,0,1
1212,21,2,-1,-2
1213,24,0,-2,-1
1214,53,0,2,2
1215,53,0,-1,0
1216,24,0,0,1
1217,55,0,-2,-1
1218,54,0,-2,-1
1219,21,0,2,2
1220,54,1,-2,-2
1221,20,0,-1,0
1222,53,0,0,1
1223,53,0,0,1
1224,21,1,2,1
1225,54,1,2,1
1226,23,0,-2,-1
1227,22,0,-2,-1
1228,52,0,-2,-1
1229,53,0,-2,-1
1230,23,0,2,2
1231,51,0,-1,0
1232,24,0,-1,0
1233,21,0,-1,0
1234,23,0,-2,-1
1235,23,0,1,2
1236,55,0,0,1
1237,22,0,-1,0
1238,25,0,-1,0
1239,24,1,-2,-2
1240,53,0,-1,0
1241,53,0,0,1
1242,54,0,-2,-1
1243,54,0,1,2
1244,55,0,2,2
1245,53,0,-2,-1
1246,24,0,-1,0
1247,21,0,2,2
1248,55,0,1,2
1249,52,0,1,2
1250,23,0,2,2
1251,24,0,2,2
1252,51,0,-2,-1
1253,53,0,-1,0
1254,54,0,0,1
1255,24,0,1,2
1256,51,1,2,1
1257,22,0,-2,-1
1258,21,0,-2,-1
1259,54,1,-1,-2
1260,21,0,2,2
1261,51,0,-2,-1
1262,24,0,1,2
1263,25,0,2,2
1264,52,0,-2,-1
1265,20,0,-2,-1
1266,21,0,-2,-1
1267,54,0,1,2
1268,22,1,-2,-2
1269,53,0,-1,0
1270,22,1,0,-1
1271,21,0,-2,-1
1272,21,0,0,1
1273,21,0,2,2
1274,21,0,-2,-1
1275,51,1,0,-1
1276,25,0,2,2
1277,52,0,1,2
1278,50,0,0,1
1279,23,0,0,1
1280,25,0,-2,-1
1281,23,0,1,2
